zone	region	ID
"Sénégal oriental"	"Tambacounda"	298
"Sénégal oriental"	"Tambacounda"	299
"Sénégal oriental"	"Tambacounda"	300
"Sénégal oriental"	"Tambacounda"	301
"Sénégal oriental"	"Tambacounda"	302
"Sénégal oriental"	"Tambacounda"	303
"Sénégal oriental"	"Tambacounda"	304
"Sénégal oriental"	"Tambacounda"	305
"Sénégal oriental"	"Tambacounda"	306
"Sénégal oriental"	"Tambacounda"	307
"Sénégal oriental"	"Tambacounda"	308
"Sénégal oriental"	"Tambacounda"	309
"Sénégal oriental"	"Tambacounda"	310
"Sénégal oriental"	"Tambacounda"	311
"Sénégal oriental"	"Tambacounda"	312
"Sénégal oriental"	"Tambacounda"	313
"Sénégal oriental"	"Tambacounda"	314
"Sénégal oriental"	"Tambacounda"	315
"Sénégal oriental"	"Tambacounda"	316
"Sénégal oriental"	"Tambacounda"	317
"Sénégal oriental"	"Tambacounda"	318
"Sénégal oriental"	"Tambacounda"	319
"Sénégal oriental"	"Tambacounda"	320
"Sénégal oriental"	"Tambacounda"	321
"Sénégal oriental"	"Tambacounda"	322
"Sénégal oriental"	"Tambacounda"	323
"Sénégal oriental"	"Tambacounda"	324
"Sénégal oriental"	"Tambacounda"	325
"Sénégal oriental"	"Tambacounda"	326
"Sénégal oriental"	"Tambacounda"	327
"Sénégal oriental"	"Tambacounda"	328
"Sénégal oriental"	"Tambacounda"	329
"Sénégal oriental"	"Tambacounda"	330
"Sénégal oriental"	"Tambacounda"	331
"Sénégal oriental"	"Tambacounda"	332
"Sénégal oriental"	"Tambacounda"	333
"Sénégal oriental"	"Tambacounda"	334
"Sénégal oriental"	"Tambacounda"	335
"Sénégal oriental"	"Tambacounda"	336
"Sénégal oriental"	"Tambacounda"	337
"Sénégal oriental"	"Tambacounda"	338
"Sénégal oriental"	"Tambacounda"	339
"Sénégal oriental"	"Tambacounda"	340
"Sénégal oriental"	"Tambacounda"	341
"Sénégal oriental"	"Tambacounda"	342
"Sénégal oriental"	"Tambacounda"	343
"Sénégal oriental"	"Tambacounda"	344
"Sénégal oriental"	"Tambacounda"	345
"Sénégal oriental"	"Tambacounda"	346
"Sénégal oriental"	"Tambacounda"	347
"Sénégal oriental"	"Tambacounda"	348
"Sénégal oriental"	"Tambacounda"	349
"Sénégal oriental"	"Tambacounda"	350
"Sénégal oriental"	"Tambacounda"	351
"Sénégal oriental"	"Tambacounda"	352
"Sénégal oriental"	"Tambacounda"	353
"Sénégal oriental"	"Tambacounda"	354
"Sénégal oriental"	"Tambacounda"	355
"Sénégal oriental"	"Tambacounda"	356
"Sénégal oriental"	"Tambacounda"	357
"Sénégal oriental"	"Tambacounda"	358
"Niayes"	"Louga"	359
"Niayes"	"Louga"	360
"Niayes"	"Louga"	361
"Niayes"	"Louga"	362
"Niayes"	"Louga"	363
"Niayes"	"Louga"	364
"Niayes"	"Louga"	365
"Niayes"	"Louga"	366
"Niayes"	"Louga"	367
"Niayes"	"Louga"	368
"Niayes"	"Louga"	369
"Niayes"	"Louga"	370
"Niayes"	"Louga"	371
"Niayes"	"Louga"	372
"Niayes"	"Louga"	373
"Niayes"	"Louga"	374
"Niayes"	"Louga"	375
"Niayes"	"Louga"	376
"Niayes"	"Louga"	377
"Niayes"	"Louga"	378
"Niayes"	"Louga"	379
"Niayes"	"Louga"	380
"Niayes"	"Louga"	381
"Niayes"	"Louga"	382
"Niayes"	"Louga"	383
"Niayes"	"Louga"	384
"Niayes"	"Louga"	385
"Niayes"	"Louga"	386
"Niayes"	"Louga"	387
"Niayes"	"Louga"	388
"Niayes"	"Louga"	389
"Niayes"	"Louga"	390
"Niayes"	"Louga"	391
"Niayes"	"Louga"	392
"Niayes"	"Louga"	393
"Niayes"	"Louga"	394
"Niayes"	"Louga"	395
"Niayes"	"Louga"	396
"Niayes"	"Louga"	397
"Niayes"	"Louga"	398
"Niayes"	"Louga"	399
"Niayes"	"Louga"	400
"Niayes"	"Louga"	401
"Niayes"	"Louga"	402
"Niayes"	"Louga"	403
"Niayes"	"Louga"	404
"Niayes"	"Louga"	405
"Niayes"	"Louga"	406
"Niayes"	"Louga"	407
"Niayes"	"Louga"	408
"Niayes"	"Louga"	409
"Niayes"	"Louga"	410
"Niayes"	"Louga"	411
"Niayes"	"Louga"	412
"Niayes"	"Louga"	413
"Niayes"	"Louga"	414
"Niayes"	"Louga"	415
"Niayes"	"Louga"	416
"Niayes"	"Louga"	417
"Niayes"	"Louga"	418
"Niayes"	"Louga"	419
"Niayes"	"Louga"	420
"Niayes"	"Louga"	421
"Niayes"	"Louga"	422
"Niayes"	"Louga"	423
"Casamance"	"Kolda"	424
"Casamance"	"Kolda"	425
"Casamance"	"Kolda"	426
"Casamance"	"Kolda"	427
"Casamance"	"Kolda"	428
